amount,time_since_last_tx,velocity_1h,velocity_24h,vol_1h,amount_zscore,risk_rating_encoded,is_senior,age,annual_income,is_fraud
1201.1,0.0,1.0,1.0,1201.1,0.49117823253982035,2,0,28,112144.13,0
1524.9,14400.0,1.0,2.0,1524.9,1.0956277465809476,2,0,28,112144.13,0
408.92,115200.0,1.0,1.0,408.92,-0.987613663794645,2,0,28,112144.13,0
1584.93,414000.0,1.0,1.0,1584.93,1.207687982306361,2,0,28,112144.13,0
1575.12,345600.0,1.0,1.0,1575.12,1.189375290111353,2,0,28,112144.13,0
1173.58,309600.0,1.0,1.0,1173.58,0.43980562405800505,2,0,28,112144.13,0
434.43,162000.0,1.0,1.0,434.43,-0.9399931971387181,2,0,28,112144.13,0
180.24,406800.0,1.0,1.0,180.24,-1.4144991328215906,2,0,28,112144.13,0
1632.13,104400.0,1.0,1.0,1632.13,1.2957979794118002,2,0,28,112144.13,0
262.12,345600.0,1.0,1.0,262.12,-1.2616506886903753,2,0,28,112144.13,0
1081.13,396000.0,1.0,1.0,1081.13,0.2672257674394069,2,0,28,112144.13,0
753.77,14400.0,1.0,2.0,753.77,-0.34386933112916446,2,0,28,112144.13,0
697.08,208800.0,1.0,1.0,697.08,-0.44969466451703183,2,0,28,112144.13,0
1820.73,133200.0,1.0,1.0,1820.73,1.6478646203881946,2,0,28,112144.13,0
1565.76,115200.0,1.0,1.0,1565.76,1.1719026296684103,2,0,28,112144.13,0
1558.19,234000.0,1.0,1.0,1558.19,1.1577714288614576,2,0,28,112144.13,0
177.33,205200.0,1.0,1.0,177.33,-1.4199313381516079,2,0,28,112144.13,0
390.83,169200.0,1.0,1.0,390.83,-1.0213829402276409,2,0,28,112144.13,0
1074.85,309600.0,1.0,1.0,1074.85,0.25550265765503877,2,0,28,112144.13,0
815.36,18000.0,1.0,2.0,815.36,-0.2288969853299272,2,0,28,112144.13,0
987.11,194400.0,1.0,1.0,987.11,0.09171513337471629,2,0,28,112144.13,0
706.97,421200.0,1.0,1.0,706.97,-0.43123263334387946,2,0,28,112144.13,0
654.29,370800.0,1.0,1.0,654.29,-0.5295723504522384,2,0,28,112144.13,0
39.13,424800.0,1.0,1.0,39.13,-1.677914422896771,2,0,28,112144.13,0
698.71,385200.0,1.0,1.0,698.71,-0.4466518828373313,2,0,28,112144.13,0
895.5,266400.0,1.0,1.0,895.5,-0.0792966639733617,2,0,28,112144.13,0
764.89,360000.0,1.0,1.0,764.89,-0.32311121316703556,2,0,28,112144.13,0
851.9,90000.0,1.0,1.0,851.9,-0.16068640706228435,2,0,28,112144.13,0
1166.05,266400.0,1.0,1.0,1166.05,0.4257490927401246,2,0,28,112144.13,0
1936.37,208800.0,1.0,1.0,1936.37,1.8637341132965202,2,0,28,112144.13,0
79.64,122400.0,1.0,1.0,79.64,-1.6022928978386917,2,0,28,112144.13,0
1322.26,266400.0,1.0,1.0,1322.26,0.7173521149401384,2,0,28,112144.13,0
1883.45,0.0,1.0,1.0,1883.45,1.4443587127851987,0,0,49,91955.12,0
50.63,324000.0,1.0,1.0,50.63,-1.5680344212806785,0,0,49,91955.12,0
480.31,79200.0,1.0,2.0,480.31,-0.8618193636943218,0,0,49,91955.12,0
1999.66,108000.0,1.0,1.0,1999.66,1.6353595781783066,0,0,49,91955.12,0
732.13,241200.0,1.0,1.0,732.13,-0.44793210852443655,0,0,49,91955.12,0
1240.93,194400.0,1.0,1.0,1240.93,0.38832329386789793,0,0,49,91955.12,0
293.7,36000.0,1.0,2.0,293.7,-1.1685285237580672,0,0,49,91955.12,0
1556.67,165600.0,1.0,1.0,1556.67,0.9072684211307824,0,0,49,91955.12,0
292.41,21600.0,1.0,2.0,292.41,-1.170648746771208,0,0,49,91955.12,0
1611.02,399600.0,1.0,1.0,1611.02,0.9965971969169918,0,0,49,91955.12,0
75.15,136800.0,1.0,1.0,75.15,-1.5277337481936895,0,0,49,91955.12,0
607.43,428400.0,1.0,1.0,607.43,-0.6528869997947278,0,0,49,91955.12,0
1930.06,352800.0,1.0,1.0,1930.06,1.5209661504925625,0,0,49,91955.12,0
1533.24,280800.0,1.0,1.0,1533.24,0.8687592543107109,0,0,49,91955.12,0
561.21,126000.0,1.0,1.0,561.21,-0.7288534398469557,0,0,49,91955.12,0
1674.34,360000.0,1.0,1.0,1674.34,1.1006689187713208,0,0,49,91955.12,0
1106.16,399600.0,1.0,1.0,1106.16,0.16681751442525858,0,0,49,91955.12,0
443.46,180000.0,1.0,1.0,443.46,-0.9223854241859838,0,0,49,91955.12,0
1106.91,230400.0,1.0,1.0,1106.91,0.16805020222359635,0,0,49,91955.12,0
789.13,385200.0,1.0,1.0,789.13,-0.354247835850767,0,0,49,91955.12,0
1698.84,378000.0,1.0,1.0,1698.84,1.1409367201836875,0,0,49,91955.12,0
884.7,396000.0,1.0,1.0,884.7,-0.19717053866791437,0,0,49,91955.12,0
112.26,417600.0,1.0,1.0,112.26,-1.4667403559319372,0,0,49,91955.12,0
956.14,46800.0,1.0,2.0,956.14,-0.07975291691691531,0,0,49,91955.12,0
1537.88,378000.0,1.0,1.0,1537.88,0.8763854828230939,0,0,49,91955.12,0
1079.2,378000.0,1.0,1.0,1079.2,0.12250649703434395,0,0,49,91955.12,0
314.04,370800.0,1.0,1.0,314.04,-1.135098030667147,0,0,49,91955.12,0
983.42,208800.0,1.0,1.0,983.42,-0.03491595273204334,0,0,49,91955.12,0
1600.77,406800.0,1.0,1.0,1600.77,0.9797504636730424,0,0,49,91955.12,0
1125.47,0.0,1.0,1.0,1125.47,0.34914954550166566,0,0,38,186602.32,0
1388.0,129600.0,1.0,1.0,1388.0,0.8100223812497935,0,0,38,186602.32,0
610.17,216000.0,1.0,1.0,610.17,-0.5554623931758581,0,0,38,186602.32,0
505.71,216000.0,1.0,1.0,505.71,-0.7388424884878203,0,0,38,186602.32,0
261.4,61200.0,1.0,2.0,261.4,-1.167730015633766,0,0,38,186602.32,0
276.72,129600.0,1.0,1.0,276.72,-1.1408356727256743,0,0,38,186602.32,0
201.04,136800.0,1.0,1.0,201.04,-1.273692322287318,0,0,38,186602.32,0
458.96,345600.0,1.0,1.0,458.96,-0.8209123664873822,0,0,38,186602.32,0
128.42,169200.0,1.0,1.0,128.42,-1.4011771252889904,0,0,38,186602.32,0
234.37,255600.0,1.0,1.0,234.37,-1.2151813269135128,0,0,38,186602.32,0
438.0,205200.0,1.0,1.0,438.0,-0.8577077599177739,0,0,38,186602.32,0
1636.5,82800.0,1.0,2.0,1636.5,1.2462654760709941,0,0,38,186602.32,0
1363.8,331200.0,1.0,1.0,1363.8,0.7675391502853144,0,0,38,186602.32,0
305.48,151200.0,1.0,1.0,305.48,-1.0903473370835908,0,0,38,186602.32,0
1143.76,97200.0,1.0,1.0,1143.76,0.38125773948267067,0,0,38,186602.32,0
1121.1,61200.0,1.0,2.0,1121.1,0.34147798685229463,0,0,38,186602.32,0
755.12,50400.0,1.0,2.0,755.12,-0.3010018837419224,0,0,38,186602.32,0
1902.63,219600.0,1.0,1.0,1902.63,1.7134581313014414,0,0,38,186602.32,0
1570.97,82800.0,1.0,2.0,1570.97,1.131227206438667,0,0,38,186602.32,0
1231.12,237600.0,1.0,1.0,1231.12,0.5346186922536165,0,0,38,186602.32,0
1762.21,32400.0,1.0,2.0,1762.21,1.466950061382757,0,0,38,186602.32,0
1628.98,180000.0,1.0,1.0,1628.98,1.233064075374594,0,0,38,186602.32,0
913.75,432000.0,1.0,1.0,913.75,-0.02252606027517373,0,0,38,186602.32,0
1274.28,259200.0,1.0,1.0,1274.28,0.6103863058249769,0,0,38,186602.32,0
1645.55,0.0,1.0,1.0,1645.55,0.964486796589476,2,0,34,14710.7,0
1695.14,100800.0,1.0,1.0,1695.14,1.0501733482641216,2,0,34,14710.7,0
1580.02,363600.0,1.0,1.0,1580.02,0.8512575219123333,2,0,34,14710.7,0
944.11,252000.0,1.0,1.0,944.11,-0.24753124750536648,2,0,34,14710.7,0
189.83,172800.0,1.0,1.0,189.83,-1.5508515176636948,2,0,34,14710.7,0
1130.35,324000.0,1.0,1.0,1130.35,0.07427281347236982,2,0,34,14710.7,0
543.4,122400.0,1.0,1.0,543.4,-0.9399179811522136,2,0,34,14710.7,0
67.6,277200.0,1.0,1.0,67.6,-1.762052711678454,2,0,34,14710.7,0
362.02,165600.0,1.0,1.0,362.02,-1.2533244490438686,2,0,34,14710.7,0
659.28,111600.0,1.0,1.0,659.28,-0.7396889509433427,2,0,34,14710.7,0
480.87,136800.0,1.0,1.0,480.87,-1.0479635563935035,2,0,34,14710.7,0
772.6,82800.0,1.0,2.0,772.6,-0.5438833442530662,2,0,34,14710.7,0
654.97,129600.0,1.0,1.0,654.97,-0.747136199132851,2,0,34,14710.7,0
1704.34,370800.0,1.0,1.0,1704.34,1.0660700265340697,2,0,34,14710.7,0
1600.96,97200.0,1.0,1.0,1600.96,0.8874397439745852,2,0,34,14710.7,0
1912.87,212400.0,1.0,1.0,1912.87,1.4263889743201916,2,0,34,14710.7,0
901.47,345600.0,1.0,1.0,901.47,-0.321208895486953,2,0,34,14710.7,0
918.71,230400.0,1.0,1.0,918.71,-0.29141990272891943,2,0,34,14710.7,0
690.86,111600.0,1.0,1.0,690.86,-0.6851218748819331,2,0,34,14710.7,0
1129.67,313200.0,1.0,1.0,1129.67,0.07309784160024349,2,0,34,14710.7,0
1839.69,428400.0,1.0,1.0,1839.69,1.2999412660816247,2,0,34,14710.7,0
731.09,374400.0,1.0,1.0,731.09,-0.6156084654471482,2,0,34,14710.7,0
1300.59,43200.0,1.0,2.0,1300.59,0.36843047745889185,2,0,34,14710.7,0
1738.28,288000.0,1.0,1.0,1738.28,1.1247149461516834,2,0,34,14710.7,0
