transaction_id,customer_id,timestamp,amount,currency,merchant,category,is_fraud,fraud_pattern
TX-61FB6FCE0EBE,CUST-864616F8,2025-11-14T17:02:01.791552,1547.55,USD,Bailey Inc,Utilities,0,
TX-07BB1F37F645,CUST-864616F8,2025-11-19T17:02:01.791552,1462.56,USD,Oliver LLC,Travel,0,
TX-7FEF9092EB83,CUST-864616F8,2025-11-21T11:02:01.791552,209.75,USD,Lee Group,Retail,0,
TX-112E2D2D6B5A,CUST-864616F8,2025-11-22T10:02:01.791552,417.26,USD,Wilson Ltd,Food,0,
TX-01F299E2E8A6,CUST-864616F8,2025-11-26T13:02:01.791552,1100.19,USD,"Brown, Frye and King",Food,0,
TX-7E883CDA5760,CUST-864616F8,2025-11-27T08:02:01.791552,1324.56,USD,Shepherd-Lowe,Food,0,
TX-6211B6F42C2B,CUST-864616F8,2025-11-28T03:02:01.791552,215.06,USD,"Bennett, Martin and Joseph",Utilities,0,
TX-2986406A8CAA,CUST-864616F8,2025-12-02T00:02:01.791552,553.15,USD,Lewis-Riley,Utilities,0,
TX-81917046B215,CUST-864616F8,2025-12-04T08:02:01.791552,1090.22,USD,Kelley Group,Retail,0,
TX-7F012BD02082,CUST-864616F8,2025-12-08T02:02:01.791552,1237.35,USD,Richards-Brown,Retail,0,
TX-2826830F4856,CUST-864616F8,2025-12-08T03:02:01.791552,1513.74,USD,King PLC,Travel,0,
TX-2B809FD4260C,CUST-864616F8,2025-12-08T05:02:01.791552,573.46,USD,Watson Ltd,Travel,0,
TX-766ABC154A3B,CUST-864616F8,2025-12-08T19:02:01.791552,633.87,USD,"Chambers, Harmon and Lee",Travel,0,
TX-D6D448DD95FF,CUST-864616F8,2025-12-09T00:02:01.791552,1993.26,USD,Davis-Barnett,Travel,0,
TX-F96588F89BC8,CUST-864616F8,2025-12-09T06:02:01.791552,387.7,USD,Barton LLC,Travel,0,
TX-6D44DB47ECE4,CUST-864616F8,2025-12-10T23:02:01.791552,1556.92,USD,"Wheeler, Smith and Mcdonald",Travel,0,
TX-6F81116AF480,CUST-864616F8,2025-12-11T19:02:01.791552,1890.42,USD,"Randolph, Lara and Brewer",Utilities,0,
TX-9A69287EC651,CUST-864616F8,2025-12-15T08:02:01.791552,1330.59,USD,"Moore, Diaz and Jordan",Retail,0,
TX-231E85E1E48E,CUST-864616F8,2025-12-19T06:02:01.791552,1813.84,USD,"Gutierrez, Bates and Mendoza",Retail,0,
TX-52AD2F0AB5EA,CUST-864616F8,2025-12-20T09:02:01.791552,1973.62,USD,Smith Inc,Travel,0,
TX-BFD94E252B32,CUST-864616F8,2025-12-25T00:02:01.791552,617.66,USD,"Bates, Ramirez and Neal",Utilities,0,
TX-C357738CEEBE,CUST-864616F8,2025-12-26T02:02:01.791552,1084.77,USD,Hunt Inc,Utilities,0,
TX-E379B2D9D5E5,CUST-864616F8,2025-12-27T08:02:01.791552,571.46,USD,Townsend-Bowers,Retail,0,
TX-74C0589C9638,CUST-864616F8,2025-12-29T10:02:01.791552,828.46,USD,Watson and Sons,Utilities,0,
TX-652EB2DCD47F,CUST-864616F8,2026-01-01T05:02:01.791552,1313.74,USD,"Rodriguez, Cain and Blanchard",Travel,0,
TX-D871C53E78F3,CUST-864616F8,2026-01-03T08:02:01.791552,1426.32,USD,Robinson-Alvarez,Retail,0,
TX-2E101C105D3D,CUST-864616F8,2026-01-07T23:02:01.791552,895.62,USD,"Anderson, Allen and Anderson",Utilities,0,
TX-DF7376C264CB,CUST-864616F8,2026-01-09T13:02:01.791552,162.64,USD,Scott-Fitzgerald,Food,0,
TX-D9707DAA9AFF,CUST-864616F8,2026-01-13T23:02:01.791552,1083.41,USD,Wright-Green,Food,0,
TX-BEB9C4769294,CUST-864616F8,2026-01-17T06:02:01.791552,110.5,USD,Murillo-Dickson,Utilities,0,
TX-1C0BD1BB3303,CUST-864616F8,2026-01-19T05:02:01.791552,410.01,USD,Walker-Lopez,Travel,0,
